name,price,image
2% Microfiltered Milk,7.09,https://digital.loblaws.ca/PCX/20148677_EA/en/1/20148677_en_front_v1_250.png
Condensed Soup Chicken Noodle,1.00,https://digital.loblaws.ca/PCX/20176214003_EA/en/1/6321101251_enfr_front_centre_marketing_A_1_GS1_Ecommerce_v1_250.png
Royal Gala Apples,1.15,https://digital.loblaws.ca/PCX/20083526001_KG/en/1/20083526001_en_front_v1_250.png
Lemon,0.99,https://digital.loblaws.ca/PCX/20028593001_EA/en/1/20028593001_en_front_250.png
Chunk Light Tuna,1.29,https://digital.loblaws.ca/PCX/20521647_EA/en/1/6038310568_enfr_front_centre_marketing_GS1_Ecommerce_250.png
Pomegranate,2.99,https://digital.loblaws.ca/PCX/20134767001_EA/en/1/20134767001_en_front_250.png
Blueberries Half Pint,4.99,https://digital.loblaws.ca/PCX/20152465001_EA/en/1/20152465001_en_front_250.png
Corned Beef,4.99,https://digital.loblaws.ca/PCX/20050622_EA/en/1/88551290101_enfr_front_centre_marketing_A_1_GS1_Ecommerce_250.png
"Eggs, Medium",9.54,https://digital.loblaws.ca/PCX/21685186001_EA/en/1/21685186001_en_front_v1_250.png
Tomato On The Vine Red (1 Bunch),5.94,https://digital.loblaws.ca/PCX/20026703001_KG/en/1/20026703001_en_front_250.png
Classic potato chips,3.89,https://digital.loblaws.ca/PCX/21241032_EA/en/1/21241032_en_front_v3_250.png
"Romaine Hearts, 2-Pack",3.99,https://digital.loblaws.ca/PCX/20082756001_EA/en/1/20082756001_en_front_250.png
Honeycrisp Apples,1.58,https://digital.loblaws.ca/PCX/20132621001_KG/en/1/20132621001_en_front_250.png
White Cheddar Deluxe Macaroni and Cheese Dinner,1.50,https://digital.loblaws.ca/PCX/21529753_EA/en/1/21529753_en_front_250.png
Pasteurized Cream Cheese,3.00,https://digital.loblaws.ca/PCX/20308105001_EA/en/1/6038300839_enfr_front_centre_marketing_GS1_Ecommerce_250.png
Red Delicious Apples,1.38,https://digital.loblaws.ca/PCX/20073899001_KG/en/1/20073899001_en_front_v1_250.png
"Mandarin, 4 lb bag",6.99,https://digital.loblaws.ca/PCX/20054025001_EA/en/1/20054025001_en_front_250.png
Grade A Large Eggs,7.06,https://digital.loblaws.ca/PCX/20814294001_EA/en/1/6565100001_enfr_front_centre_marketing_GS1_Ecommerce_250.png
Navel Orange,1.92,https://digital.loblaws.ca/PCX/20426078001_KG/en/1/20426078001_enfr_front_v1_250.png
Cauliflower,4.99,https://digital.loblaws.ca/PCX/20135377001_EA/en/1/20135377001_enfr_front_250.png
"Original 2 Ply Facial Tissue, 6 Tissue Boxes, 100 Tissues per box",9.00,https://digital.loblaws.ca/PCX/20702419_EA/en/1/20702419_enfr_front_v1_250.png
White Baguette,0.99,https://digital.loblaws.ca/PCX/21529211_EA/en/1/21529211_en_front_250.png
Diced Tomatoes,1.79,https://digital.loblaws.ca/PCX/20314629001_EA/en/1/20314629001_en_front_250.png
Peaches & Cream Corn,1.50,https://digital.loblaws.ca/PCX/21021485_EA/en/1/19056910095_en_front_centre_marketing_GS1_Ecommerce_250.png
Flaked Light Tuna,1.29,https://digital.loblaws.ca/PCX/20521648_EA/en/1/20521648_en_front_250.png
Lightly Salted Rippled Potato Chips,1.50,https://digital.loblaws.ca/PCX/21302935_EA/en/1/21302935_en_front_250.png
"Bananas, Bunch",1.75,https://digital.loblaws.ca/PCX/20175355001_KG/en/1/20175355001_enfr_front_v1_250.png
Reusable T-Shirt Bag,0.35,https://digital.loblaws.ca/PCX/21386993_EA/en/1/21386993_en_front_250.png
Marble Cheddar Cheese,8.00,https://digital.loblaws.ca/PCX/21346749_EA/en/1/21346749_en_front_250.png
Tindora,1.10,https://digital.loblaws.ca/PCX/20666937001_KG/en/1/20666937001_en_front_400.png
Jamaica Dried Hibiscus,5.99,https://digital.loblaws.ca/PCX/21680304_EA/en/1/21680304_en_front_400.png
Baby Bok Choy,2.32,https://digital.loblaws.ca/PCX/20909940001_KG/en/1/20909940001_enfr_front_v1_400.png
"Decorative Corn, pack of 3",3.99,https://digital.loblaws.ca/PCX/20276055_EA/en/1/20276055_en_front_400.png
Acorn Squash,4.61,https://digital.loblaws.ca/PCX/20071263001_KG/en/1/20071263001_en_front_400.png
Arrow Head,3.96,https://assets.loblaws.ca/pcx_bronx_fe_assets/images/common/coming-soon-en-web.png
Artichokes,6.99,https://digital.loblaws.ca/PCX/20711254_EA/en/1/20711254_en_front_400.png
Axiany Cherry Tomatoes,6.99,https://digital.loblaws.ca/PCX/21634164001_EA/en/1/21634164001_enfr_front_400.png
Baby Bok Choy Jr,4.42,https://digital.loblaws.ca/PCX/20099639001_KG/en/1/20099639001_en_front_400.png
Baby Boo Halloween Pumpkins,3.99,https://digital.loblaws.ca/PCX/20135255_EA/en/1/20135255_en_front_400.png
Baby Eggplants (1 pack),4.16,https://digital.loblaws.ca/PCX/20686400001_KG/en/1/20686400001_en_front_400.png
Baby Napa (Sweet Napa),3.93,https://digital.loblaws.ca/PCX/21024088001_KG/en/1/21024088001_enfr_front_v1_400.png
Baking Russet Potato,1.70,https://digital.loblaws.ca/PCX/20025548001_KG/en/1/20025548001_en_front_400.png
Bean Sprouts,2.29,https://digital.loblaws.ca/PCX/20058232001_EA/en/1/20058232001_en_front_400.png
"Beets, 5 lb bag",4.99,https://digital.loblaws.ca/PCX/20951321001_EA/en/1/20951321001_en_front_400.png
Bhindi/Okra,4.39,https://digital.loblaws.ca/PCX/20968510001_KG/en/1/20968510001_en_front_400.png
Black Tuscan Kale,3.99,https://digital.loblaws.ca/PCX/20689084001_EA/en/1/20689084001_en_front_400.png
Boston Lettuce,3.99,https://digital.loblaws.ca/PCX/20686537_EA/en/1/89578700019_enfr_front_centre_marketing_A_1_GS1_Ecommerce_400.png
Broccoli,4.99,https://digital.loblaws.ca/PCX/20145621001_EA/en/1/20145621001_enfr_front_400.png
Broccoli Crown,2.49,https://digital.loblaws.ca/PCX/21121560001_EA/en/1/21121560001_enfr_front_400.png
Broccolini,3.49,https://digital.loblaws.ca/PCX/20154907_EA/en/1/20154907_en_front_400.png
Brown Shimeji Mushrooms,1.79,https://digital.loblaws.ca/PCX/20667391_EA/en/1/20667391_en_front_400.png
Brussels Sprouts,0.99,https://digital.loblaws.ca/PCX/20036155001_KG/en/1/20036155001_en_front_400.png
Butternut Squash,8.84,https://digital.loblaws.ca/PCX/20325274001_KG/en/1/20325274001_en_front_400.png
"Cabbage, Green",2.92,https://digital.loblaws.ca/PCX/20793034001_KG/en/1/20793034001_enfr_front_400.png
Campari Tomatoes 1lb,4.99,https://digital.loblaws.ca/PCX/20062963_EA/en/1/20062963_en_front_400.png
Caribbean Sweet Potatoes,1.36,https://digital.loblaws.ca/PCX/20169868001_KG/en/1/20169868001_en_front_400.png
Carrot Chips,3.79,https://digital.loblaws.ca/PCX/20885999_EA/en/1/20885999_en_front_400.png
Carrots,0.57,https://digital.loblaws.ca/PCX/20116186001_KG/en/1/20116186001_en_front_400.png
"Carrots, Bunched",3.49,https://digital.loblaws.ca/PCX/20047449001_EA/en/1/20047449001_en_front_400.png
Cassava,3.43,https://digital.loblaws.ca/PCX/20087682001_KG/en/1/20087682001_en_front_400.png
Celery Hearts,5.99,https://digital.loblaws.ca/PCX/20100770001_EA/en/1/20100770001_en_front_400.png
Celery Root,3.33,https://digital.loblaws.ca/PCX/20038258001_KG/en/1/20038258001_en_front_400.png
Celery Stalks,4.49,https://digital.loblaws.ca/PCX/20163119001_EA/en/1/20163119001_en_front_400.png
"Chanterelle Mushrooms, Dried",5.00,https://digital.loblaws.ca/PCX/20123799_EA/en/1/20123799_en_front_400.png
Chayote Squash,2.75,https://digital.loblaws.ca/PCX/20891206001_KG/en/1/20891206001_enfr_front_v1_400.png
Chinese Bitter Melons,1.69,https://digital.loblaws.ca/PCX/20101393001_KG/en/1/20101393001_en_front_400.png
Chinese Broccoli (gai lan),4.02,https://digital.loblaws.ca/PCX/20003604001_KG/en/1/20003604001_en_front_400.png
Chinese Cauliflower,5.49,https://digital.loblaws.ca/PCX/21669459001_KG/en/1/21669459001_en_front_400.png
Curry Leaf (1 pack),1.99,https://digital.loblaws.ca/PCX/20866958001_EA/en/1/20866958001_en_front_400.png
Curry Leaf Whole,0.99,https://digital.loblaws.ca/PCX/20708176001_EA/en/1/80625300078_enfr_front_centre_marketing_GS1_Ecommerce_400.png
Dandelion Greens,4.29,https://digital.loblaws.ca/PCX/20168298001_EA/en/1/20168298001_en_front_400.png
Don Qua,5.89,https://digital.loblaws.ca/PCX/20175056001_KG/en/1/20175056001_en_front_400.png
Dried Arbol Chili Pepper,5.99,https://digital.loblaws.ca/PCX/21679883_EA/en/1/21679883_en_front_400.png
Dried Chipotle Pepper,5.99,https://digital.loblaws.ca/PCX/21680233_EA/en/1/21680233_en_front_400.png
Dried Guajillo Chili Pepper,5.99,https://digital.loblaws.ca/PCX/21680292_EA/en/1/21680292_en_front_400.png
Dried Mulato Pepper,5.99,https://digital.loblaws.ca/PCX/21680311_EA/en/1/21680311_en_front_400.png
Dried Pasilla Pepper,5.99,https://digital.loblaws.ca/PCX/21680257_EA/en/1/21680257_en_front_400.png
Dried Porcini Mushrooms,5.00,https://digital.loblaws.ca/PCX/20064292_EA/en/1/20064292_en_front_400.png
Drumstick,1.29,https://digital.loblaws.ca/PCX/20867050001_EA/en/1/20867050001_en_front_400.png
Eddoes,0.99,https://digital.loblaws.ca/PCX/20126133001_KG/en/1/20126133001_en_front_400.png
Endive,5.99,https://digital.loblaws.ca/PCX/20899441001_EA/en/1/20899441001_en_front_400.png
Fava Beans,1.10,https://digital.loblaws.ca/PCX/20093242001_KG/en/1/20093242001_enfr_front_v1_400.png
Fennel,3.99,https://digital.loblaws.ca/PCX/20003346001_EA/en/1/20003346001_en_front_400.png
Fenugreek Bunch,2.49,https://digital.loblaws.ca/PCX/20159689001_EA/en/1/20159689001_en_front_400.png
Field Cucumbers,1.49,https://digital.loblaws.ca/PCX/20027651001_EA/en/1/20027651001_en_front_400.png
Flavor Bombs cherry tomatoes on the vine,6.99,https://digital.loblaws.ca/PCX/21247148001_EA/en/1/21247148001_en_front_400.png
French Beans,4.99,https://digital.loblaws.ca/PCX/20889720_EA/en/1/20889720_en_front_400.png
Garlic Bulbs,7.49,https://digital.loblaws.ca/PCX/21238843001_EA/en/1/21238843001_en_front_400.png
"Garlic Bulbs, 3-count",0.99,https://digital.loblaws.ca/PCX/21004355001_EA/en/1/21004355001_en_front_400.png
"Garlic, Peeled",3.29,https://digital.loblaws.ca/PCX/20636099_EA/en/1/20636099_en_front_400.png
Gobo Root,2.77,https://digital.loblaws.ca/PCX/20889234001_KG/en/1/20889234001_en_front_400.png
Grape Tomato,7.99,https://digital.loblaws.ca/PCX/20840038001_EA/en/1/20840038001_en_front_v1_400.png
Grape Tomatoes,2.99,https://digital.loblaws.ca/PCX/21367888001_EA/en/1/21367888001_en_front_400.png
Green Leaf Lettuce,3.99,https://digital.loblaws.ca/PCX/20133884001_EA/en/1/20133884001_en_front_400.png
Green Peppers 4-Pack,3.99,https://digital.loblaws.ca/PCX/20115233001_EA/en/1/20115233001_en_front_400.png
Green Swiss Chard,3.99,https://digital.loblaws.ca/PCX/20276364001_EA/en/1/20276364001_en_front_400.png
Green Thai Hot Peppers,4.00,https://digital.loblaws.ca/PCX/21454049001_EA/en/1/21454049001_en_front_400.png
Habanero Hot Peppers,4.00,https://digital.loblaws.ca/PCX/21454511001_EA/en/1/21454511001_en_front_400.png
"Halloween Decorative Mini Corn, 3 Pack",3.99,https://digital.loblaws.ca/PCX/20055255_EA/en/1/20055255_en_front_400.png
"Halloween Gourds, Package of 7",3.99,https://digital.loblaws.ca/PCX/20042184_EA/en/1/20042184_en_front_400.png
Heirloom Tomatoes,3.03,https://digital.loblaws.ca/PCX/20154799001_KG/en/1/20154799001_en_front_400.png
Indian Eggplant,0.66,https://digital.loblaws.ca/PCX/20055882001_KG/en/1/20055882001_en_front_400.png
Indian Okra,4.78,https://digital.loblaws.ca/PCX/20710542001_KG/en/1/20710542001_en_front_400.png
Jalapeno Hot Peppers,4.00,https://digital.loblaws.ca/PCX/21454762001_EA/en/1/21454762001_en_front_400.png
Jamaican Aloe,1.74,https://digital.loblaws.ca/PCX/20866469001_KG/en/1/20866469001_en_front_400.png
Jamaican Calalloo,3.43,https://assets.loblaws.ca/pcx_bronx_fe_assets/images/common/coming-soon-en-web.png
Jamaican Sweet Potatoes,5.55,https://digital.loblaws.ca/PCX/20130919001_KG/en/1/20130919001_en_front_400.png
Jicama,4.23,https://digital.loblaws.ca/PCX/20008743001_KG/en/1/20008743001_en_front_400.png
Kale Bunch,2.49,https://digital.loblaws.ca/PCX/20138805001_EA/en/1/20138805001_en_front_v1_400.png
Karela,0.86,https://digital.loblaws.ca/PCX/20028046001_KG/en/1/20028046001_en_front_400.png
Karela (1Pack),3.12,https://digital.loblaws.ca/PCX/20686142001_KG/en/1/20686142001_en_front_400.png
Kohlrabi,3.23,https://digital.loblaws.ca/PCX/20178532001_KG/en/1/20178532001_en_front_400.png
Leeks,4.99,https://digital.loblaws.ca/PCX/20090117001_EA/en/1/20090117001_en_front_400.png
Lettuce Iceberg,3.79,https://digital.loblaws.ca/PCX/20135326001_EA/en/1/20135326001_en_front_v1_400.png
Live Lettuce Boston,2.99,https://digital.loblaws.ca/PCX/21212489_EA/en/1/21212489_en_front_400.png
"Live Lettuce Green, 2-pack",4.99,https://digital.loblaws.ca/PCX/21212486_EA/en/1/21212486_en_front_400.png
Live Lettuce Tri Mix - 1 Unit,2.99,https://digital.loblaws.ca/PCX/21178850_EA/en/1/21178850_en_front_400.png
"Live Lettuce Trio, 2-pack",4.99,https://digital.loblaws.ca/PCX/21212488_EA/en/1/21212488_en_front_400.png
LoBok (Daikon Radish),3.08,https://digital.loblaws.ca/PCX/20082109001_KG/en/1/20082109001_en_front_400.png
Long Beans,1.54,https://digital.loblaws.ca/PCX/20686492001_KG/en/1/20686492001_en_front_400.png
Lotus Root,2.03,https://digital.loblaws.ca/PCX/20843923001_KG/en/1/20843923001_enfr_front_400.png
Matchstick Carrots,2.99,https://digital.loblaws.ca/PCX/20136399_EA/en/1/20136399_en_front_400.png
Microwave Ready Savoury Herb Potatoes,5.00,https://digital.loblaws.ca/PCX/21391602_EA/en/1/21391602_en_front_400.png
Mini Carrots,3.49,https://digital.loblaws.ca/PCX/20117370001_EA/en/1/20117370001_en_front_v1_400.png
"Mini Carrots, 2 lb",5.99,https://digital.loblaws.ca/PCX/20031454001_EA/en/1/20031454001_enfr_front_v1_400.png
Mini Cucumbers,2.99,https://digital.loblaws.ca/PCX/20737570001_EA/en/1/20737570001_en_front_400.png
"Mini Halloween Pumpkins, 6 Pack",3.99,https://digital.loblaws.ca/PCX/20054508_EA/en/1/20054508_en_front_400.png
Mixed Dried Mushrooms,5.00,https://digital.loblaws.ca/PCX/20055688_EA/en/1/20055688_en_front_400.png
Mixed Little Gems,3.99,https://digital.loblaws.ca/PCX/21247301001_EA/en/1/21247301001_en_front_400.png
Mixiany Cherry Tomatoes,7.49,https://digital.loblaws.ca/PCX/21634166001_EA/en/1/21634166001_enfr_front_400.png
"Morel Mushrooms, Dried",9.99,https://digital.loblaws.ca/PCX/20179714_EA/en/1/20179714_en_front_400.png
Naturally Imperfect Brown Mushrooms,5.00,https://digital.loblaws.ca/PCX/20938403_EA/en/1/20938403_en_front_v1_400.png
Naturally Imperfect Brussels Sprouts,6.00,https://digital.loblaws.ca/PCX/21619566001_EA/en/1/21619566001_enfr_front_v1_400.png
Naturally Imperfect English Cucumber 3lb Bag,6.00,https://digital.loblaws.ca/PCX/21046471001_EA/en/1/21046471001_en_front_v1_400.png
Naturally Imperfect Mini Cucumbers,5.00,https://digital.loblaws.ca/PCX/21606679001_EA/en/1/21606679001_en_front_400.png
Naturally Imperfect Onions 5LB,2.50,https://digital.loblaws.ca/PCX/21658439001_EA/en/1/21658439001_en_front_400.png
Naturally Imperfect Potatoes,2.50,https://digital.loblaws.ca/PCX/20867058001_EA/en/1/20867058001_en_front_v1_400.png
Naturally Imperfect Potatoes 15lb,7.00,https://digital.loblaws.ca/PCX/20944462001_EA/en/1/20944462001_en_front_v1_400.png
"Naturally Imperfect Sweet Corn, 7-Pack",5.00,https://digital.loblaws.ca/PCX/21618302001_EA/en/1/21618302001_enfr_front_400.png
Naturally Imperfect Sweet Potato,6.00,https://digital.loblaws.ca/PCX/21022130001_EA/en/1/21022130001_en_front_v1_400.png
Naturally Imperfect Tomatoes,5.00,https://digital.loblaws.ca/PCX/21606704001_EA/en/1/21606704001_en_front_v1_400.png
Naturally Imperfect Zucchini,7.00,https://digital.loblaws.ca/PCX/21294808001_EA/en/1/21294808001_en_front_400.png
Okra,1.10,https://digital.loblaws.ca/PCX/20091263001_KG/en/1/20091263001_en_front_400.png
Okra (1 pack),6.47,https://digital.loblaws.ca/PCX/20686141001_KG/en/1/20686141001_en_front_400.png
Opo Squash,2.77,https://digital.loblaws.ca/PCX/20142055001_KG/en/1/20142055001_en_front_400.png
Organic Beet Bunch,6.59,https://digital.loblaws.ca/PCX/21095252001_EA/en/1/21095252001_en_front_400.png
Organic Black Kale,4.99,https://digital.loblaws.ca/PCX/21095249001_EA/en/1/21095249001_enfr_front_v1_400.png
Organic Button White Mushrooms,3.99,https://digital.loblaws.ca/PCX/21005170_EA/en/1/21005170_enfr_front_v1_400.png
Organic Cauliflower,6.99,https://digital.loblaws.ca/PCX/20001440001_EA/en/1/20001440001_en_front_400.png
Organic Cucumber Mini,4.99,https://digital.loblaws.ca/PCX/20935931001_EA/en/1/20935931001_enfr_front_v2_400.png
Organic English Cucumber,2.99,https://digital.loblaws.ca/PCX/20080489001_EA/en/1/20080489001_en_front_400.png
Organic Enoki Mushrooms,4.50,https://digital.loblaws.ca/PCX/21005376_EA/en/1/21005376_en_front_400.png
Organic French Beans,4.99,https://digital.loblaws.ca/PCX/21126944001_EA/en/1/21126944001_en_front_400.png
Organic Garlic,3.99,https://digital.loblaws.ca/PCX/20717130001_EA/en/1/20717130001_en_front_400.png
"Organic Green Onions, Bunch",1.99,https://digital.loblaws.ca/PCX/20603423001_EA/en/1/20603423001_en_front_400.png
Organic Iceberg Lettuce,4.49,https://digital.loblaws.ca/PCX/20619353001_EA/en/1/20619353001_en_front_400.png
Organic Leeks,5.99,https://digital.loblaws.ca/PCX/20003351001_EA/en/1/20003351001_en_front_400.png
"Organic Red Onions, 2 lb bag",5.99,https://digital.loblaws.ca/PCX/21110026001_EA/en/1/21110026001_en_front_400.png
Organic Roma Tomatoes,3.99,https://digital.loblaws.ca/PCX/20651932001_EA/en/1/20651932001_en_front_400.png
Organic Romaine Lettuce Hearts,8.99,https://digital.loblaws.ca/PCX/20599776001_EA/en/1/20599776001_enfr_front_v1_400.png
"Organic Russet Potatoes, 3 lb bag",6.99,https://digital.loblaws.ca/PCX/20063146001_EA/en/1/20063146001_en_front_400.png
"Organic Sweet Potatoes, 3 lb Bag",7.99,https://digital.loblaws.ca/PCX/20639082001_EA/en/1/20639082001_en_front_400.png
"Organic Yellow Potatoes, 3LB Bag",6.99,https://digital.loblaws.ca/PCX/20075900_EA/en/1/20075900_en_front_400.png
Organic Yukon Mini Potato,5.00,https://digital.loblaws.ca/PCX/21029286_EA/en/1/21029286_en_front_400.png
"Organic, Red Kale",4.99,https://digital.loblaws.ca/PCX/21095251001_EA/en/1/21095251001_enfr_front_v1_400.png
"Organics Baby Cut Carrots, 2 lb bag",7.49,https://digital.loblaws.ca/PCX/20628932001_EA/en/1/20628932001_en_front_400.png
Organics Portobello Mushroom Caps,5.50,https://digital.loblaws.ca/PCX/20626950_EA/en/1/20626950_en_front_400.png
Organics Whole Cremini Mushrooms,3.29,https://digital.loblaws.ca/PCX/21021565_EA/en/1/21021565_enfr_front_400.png
Organics Whole Shiitake Mushrooms,4.50,https://digital.loblaws.ca/PCX/20626629_EA/en/1/20626629_enfr_front_400.png
"Organics Yellow Onions, 2 lb Bag",4.99,https://digital.loblaws.ca/PCX/20107532_EA/en/1/20107532_en_front_400.png
Oven BBQ Ready Garlic Herb Potatoes,5.00,https://digital.loblaws.ca/PCX/21391616_EA/en/1/21391616_en_front_400.png
Oven BBQ Ready Onion Chive Potatoes,5.00,https://digital.loblaws.ca/PCX/21397958_EA/en/1/21397958_en_front_400.png
Oyster Mushrooms,1.54,https://digital.loblaws.ca/PCX/20742074_KG/en/1/20742074_en_front_400.png
Paradise Crunch Super Sweet Mini Peppers,5.00,https://digital.loblaws.ca/PCX/21534092001_EA/en/1/21534092001_enfr_front_v1_400.png
Parsnips 2lb Bag,5.99,https://digital.loblaws.ca/PCX/20074256_EA/en/1/20074256_en_front_400.png
Pencil Hot Hot Peppers,4.00,https://digital.loblaws.ca/PCX/21454333001_EA/en/1/21454333001_en_front_400.png
Peppers Mini,4.99,https://digital.loblaws.ca/PCX/21240519001_EA/en/1/21240519001_en_front_400.png
"Pink Onions, 3 lb Bag",4.99,https://digital.loblaws.ca/PCX/20779225001_EA/en/1/20779225001_en_front_400.png
Portobello Mushroom Caps,5.50,https://digital.loblaws.ca/PCX/20753132_EA/en/1/20753132_en_front_400.png
"Portobello Mushrooms, Bulk",1.59,https://digital.loblaws.ca/PCX/20160721001_KG/en/1/20160721001_en_front_400.png
Potato Baking Tray,4.99,https://digital.loblaws.ca/PCX/21035898001_EA/en/1/21035898001_en_front_400.png
